filename,is_single,box,NFIQ2,minutiae_count,singularities_count,cluster_count,solidity,coverage,sharpness,orientation_std,contrast,bg_noise,ridge_frequency
90120130740101.bmp,false,"[np.int32(0), np.int32(572), np.int32(40), np.int32(690)]",54,100,0,6,0.6067037554428187,0.5992415277030662,608.1144159680267,99.88768768310547,63.155635883851296,0.011728944437995244,0.0
90120130740102.bmp,false,"[np.int32(184), np.int32(611), np.int32(90), np.int32(692)]",75,100,0,1,0.42659281339276156,0.28902861767760063,556.444573685482,99.87737274169922,62.84270739913544,0.3205508291422789,0.0
90120130740103.bmp,false,"[np.int32(145), np.int32(611), np.int32(75), np.int32(694)]",60,97,0,3,0.6494655051760334,0.574690923067068,635.7710315348617,100.64306640625,67.74046278076214,0.010055230371199472,0.0
90120130740104.bmp,false,"[np.int32(220), np.int32(611), np.int32(56), np.int32(696)]",56,100,0,3,0.7986945667983619,0.769013979589303,738.3802944408503,100.41246795654297,66.66094354532949,0.009194364926036128,0.0
90120130740105.bmp,false,"[np.int32(200), np.int32(612), np.int32(214), np.int32(698)]",70,91,0,1,0.7547212274488071,0.6726911658509187,704.7452206782648,100.86174774169922,67.45028494920685,0.0,0.0
90120130740106.bmp,true,"[np.int32(93), np.int32(654), np.int32(32), np.int32(768)]",49,100,0,6,0.49012445625438195,0.4640889651782898,793.8106682617954,98.0234375,70.87786344377129,0.003340935708561918,0.0
90120130740107.bmp,false,"[np.int32(58), np.int32(578), np.int32(70), np.int32(768)]",56,100,0,4,0.6220282475601625,0.40889058901347614,843.6389067609687,98.28018951416016,67.93188118112293,0.017459128175550752,0.0
90120130740108.bmp,true,"[np.int32(101), np.int32(611), np.int32(42), np.int32(665)]",54,100,0,4,0.5514232917677594,0.34510567296996664,933.9771269545616,100.32345581054688,64.18097801302548,0.0013294638369623372,0.0
90120130740109.bmp,false,"[np.int32(146), np.int32(580), np.int32(103), np.int32(652)]",78,86,0,4,0.7854508901551006,0.6841079780588287,941.6149154912118,102.55646514892578,63.827663678756004,0.0,0.0
90120130740110.bmp,true,"[np.int32(121), np.int32(542), np.int32(147), np.int32(697)]",65,93,0,4,0.8076361314145527,0.6644774488893513,858.9668797551413,99.88379669189453,68.52354066016835,0.0,0.0
90120132577901.bmp,false,"[np.int32(0), np.int32(572), np.int32(71), np.int32(670)]",41,100,0,4,0.743128449383836,0.7260892047217339,574.2839199170797,102.72525024414062,63.425468228633555,0.0004632786788033326,0.0
90120132577902.bmp,false,"[np.int32(63), np.int32(611), np.int32(94), np.int32(661)]",40,100,0,2,0.8527949155766029,0.7086467634126764,421.33901018504736,102.66837310791016,71.24709562105203,0.16658736600520585,0.0
90120132577903.bmp,false,"[np.int32(0), np.int32(575), np.int32(78), np.int32(651)]",45,100,0,4,0.8085927845864045,0.6609608110769314,445.9849334572235,101.40458679199219,69.38675765730338,0.005931739761610401,0.0
90120132577904.bmp,true,"[np.int32(157), np.int32(611), np.int32(14), np.int32(642)]",24,100,0,3,0.7607554382942063,0.59466104548388,550.9413488624972,102.48262786865234,61.64933203434271,0.00008391521912913668,0.0
90120132577905.bmp,false,"[np.int32(155), np.int32(585), np.int32(165), np.int32(632)]",27,100,0,1,0.9047502308515767,0.7386845827439887,403.5688128697023,102.55390167236328,69.3700297167824,0.2948154925282098,0.0
90120132577906.bmp,false,"[np.int32(0), np.int32(670), np.int32(76), np.int32(768)]",42,100,0,1,0.7024655170999321,0.6529883429567491,731.5969636221779,101.51736450195312,69.97993810411143,0.0029763907667647582,0.0
90120132577907.bmp,true,"[np.int32(0), np.int32(513), np.int32(59), np.int32(768)]",45,100,0,4,0.6696258496900662,0.5779795830274637,779.3543267125646,100.35990905761719,63.283052856122495,0.006349795496557647,0.0
90120132577908.bmp,true,"[np.int32(2), np.int32(611), np.int32(79), np.int32(768)]",40,100,0,4,0.7451740567220579,0.7152854735808541,654.550637074796,102.8839111328125,68.51096922943233,0.0000729475680670284,0.0
90120132577909.bmp,false,"[np.int32(88), np.int32(563), np.int32(103), np.int32(768)]",27,100,0,4,0.8966018698705475,0.822615859338612,513.781052211883,102.82301330566406,69.25752895260807,0.003584695544735537,0.0
90120132577910.bmp,true,"[np.int32(109), np.int32(544), np.int32(148), np.int32(769)]",25,100,0,2,0.6774504049243114,0.605315087211639,551.5769150129804,102.39549255371094,70.68629875557558,0.0003674767131604595,0.0
90120142344401.bmp,true,"[np.int32(69), np.int32(608), np.int32(149), np.int32(684)]",78,99,0,5,0.5837035531651432,0.43979752082302126,1082.2212328134592,98.47061920166016,66.69005706511335,0.041284844601089395,0.0
90120142344402.bmp,true,"[np.int32(141), np.int32(530), np.int32(218), np.int32(684)]",79,81,0,2,0.805678340700442,0.6275843265560489,1058.7505934258334,101.04706573486328,65.78859117463621,0.0,0.0
90120142344403.bmp,true,"[np.int32(69), np.int32(457), np.int32(206), np.int32(668)]",55,100,0,1,0.6696760760487422,0.5532354666245572,1120.9855331888953,102.69226837158203,63.05689535111815,0.009108288247060474,0.0
90120142344404.bmp,true,"[np.int32(5), np.int32(411), np.int32(292), np.int32(684)]",4,100,0,2,0.8781904476103232,0.7323535997471089,1221.7615702881703,103.65650177001953,67.81299909248689,0.07951529598728645,0.0
90120142344405.bmp,true,"[np.int32(54), np.int32(429), np.int32(221), np.int32(676)]",3,100,0,1,0.7495582307140096,0.7145489241297625,816.1437336050858,103.18377685546875,73.48088026531339,0.004678780454607323,0.0
